,Unique,Counts
225,fingerling,12
367,morel,12
71,bun,12
597,strawberry preserve,12
163,cornflake,12
102,cereal,12
559,shortening,12
474,pumpernickel,12
243,galangal,12
571,soba noodle,12
203,dumpling,12
33,bacon fat,12
175,crema,12
583,sparerib,12
428,penne rigate,12
613,tamarind paste,12
417,peach preserve,11
407,pasilla chile,11
157,corkscrew pasta,11
280,harissa paste,11
485,radish sprout,11
561,shrimp paste,11
202,dulce de leche,11
450,pita bread round,11
342,maple extract,11
593,stew meat,11
298,kaiser roll,11
562,shucked oyster,11
236,floweret,11
543,seltzer water,11
379,nori,11
45,bean paste,11
683,won ton wrapper,11
441,pie dough,11
445,pineapple chunk,11
528,sandwich,11
189,dandelion green,10
7,almond butter,10
439,pickling cucumber,10
674,wheat berry,10
600,stuffing mix,10
466,porter,10
408,passion,10
255,goose,10
77,cake mix,10
615,tapenade,10
79,campanelle,10
530,sandwich roll,10
635,top loin,10
636,top sirloin,10
123,chimichurri,10
269,habanero,10
128,chipotle in adobo,10
271,haddock,10
390,orange blossom honey,10
396,oxtail,10
495,rice stick noodle,10
658,venison,10
160,corn husk,10
178,crostini,10
507,rub,10
